latitude,longitude,scientificname,occurrenceRemarks,Year
46.46, -80.97,Adalia bipunctata,Note,2010
46.4613, -80.9685,Adalia bipunctata,Note,2010
52.67, -117.88,Adalia bipunctata,Note,2010
46.459999084472656, -80.97000122070312,Adalia bipunctata,Note,2010
43.8955436, -103.41824,Adalia bipunctata,Note,2010
52.65999984741211, -117.87999725341795,Adalia bipunctata,Note,2010
52.321998596191406, -112.88300323486328,Adalia bipunctata,Note,2010
53.5319442, -113.49115,Adalia bipunctata,Note,2010
42.3355556, -72.671666,Adalia bipunctata,Note,2010
42.6584254, -71.137001,Adalia bipunctata,Note,2010
51.0452194, -114.06301,Adalia bipunctata,Note,2010
39.755267, -104.89358,Adalia bipunctata,Note,2010
39.755292, -104.89342,Adalia bipunctata,Note,2010
39.918943, -104.98949,Adalia bipunctata,Note,2010
58.619998931884766, -94.2300033569336,Adalia bipunctata,Note,2010
40.3083174, -105.08109,Adalia bipunctata,Note,2010
58.7599983215332, -94.16999816894533,Adalia bipunctata,Note,2010
40.1672068, -105.10192,Adalia bipunctata,Note,2010
39.9570441, -105.1594,Adalia bipunctata,Note,2010
58.755, -93.915,Adalia bipunctata,Note,2010
43.152744, -77.600709,Adalia bipunctata,Note,2010
58.62, -94.23,Adalia bipunctata,Note,2010
39.7391536, -104.9847,Adalia bipunctata,Note,2010
58.76, -94.17,Adalia bipunctata,Note,2010
46.459999084472656, -80.95999908447266,Adalia bipunctata,Note,2010
52.66999816894531, -117.87999725341795,Adalia bipunctata,Note,2010
58.728, -93.792,Adalia bipunctata,Note,2010
58.663, -94.166,Adalia bipunctata,Note,2010
40.767323, -74.204867,Adalia bipunctata,Note,2010
52.665, -117.883,Adalia bipunctata,Note,2010
52.322, -112.883,Adalia bipunctata,Note,2010
46.872146, -113.99399,Adalia bipunctata,Note,2010
47.31722, -114.35694,Adalia bipunctata,Note,2010
47.311611, -114.34098,Adalia bipunctata,Note,2010
52.66, -117.88,Adalia bipunctata,Note,2010
51.0906604878, -114.2127605089,Adalia bipunctata,Note,2010
53.3648978, -107.51767,Adalia bipunctata,Note,2010
53.200113, -105.74247,Adalia bipunctata,Note,2010
39.3585, -105.3845,Adalia bipunctata,Note,2010
42.1887721, -120.34579,Adalia bipunctata,Note,2010
47.615598, -122.31015,Adalia bipunctata,Note,2010
48.6490562, -118.73943,Adalia bipunctata,Note,2010
34.942, -111.752,Adalia bipunctata,Note,2010
47.705915, -116.92147,Adalia bipunctata,Note,2010
47.7179578, -116.95158,Adalia bipunctata,Note,2010
40.7672, -111.89412,Adalia bipunctata,Note,2010
43.474131, -111.872559,Adalia bipunctata,Note,2010
42.174344, -112.410452,Adalia bipunctata,Note,2010
48.495464, -118.523636,Adalia bipunctata,Note,2010
46.5648, -80.86,Adalia bipunctata,Note,2010
46.46, -80.96,Adalia bipunctata,Note,2010
46.55469, -80.861431,Adalia bipunctata,Note,2010
46.564806, -80.860512,Adalia bipunctata,Note,2010
