latitude,longitude,scientificname,occurrenceRemarks,Year
42.9495566667, -120.7616916667,Coccinella novemnotata,Note,2020
44.2424113462, -90.8717406452,Coccinella novemnotata,Note,2020
50.8423533333, -121.2246716667,Coccinella novemnotata,Note,2020
50.7357733333, -121.28897,Coccinella novemnotata,Note,2020
49.5626869959, -119.6520845219,Coccinella novemnotata,Note,2020
49.793972, -115.737274,Coccinella novemnotata,Note,2020
51.787754, -122.448418,Coccinella novemnotata,Note,2020
51.7875834669, -122.4499418289,Coccinella novemnotata,Note,2020
50.12918, -125.3633933333,Coccinella novemnotata,Note,2020
41.25218667, -105.40656333,Coccinella novemnotata,Note,2020
47.36785833, -117.82540833,Coccinella novemnotata,Note,2020
46.6318888889, -119.3959527778,Coccinella novemnotata,Note,2020
36.8097410926, -119.8928972337,Coccinella novemnotata,Note,2020
36.8098799354, -119.8935466474,Coccinella novemnotata,Note,2020
36.8102322883, -119.8930352866,Coccinella novemnotata,Note,2020
36.8099246307, -119.8936131023,Coccinella novemnotata,Note,2020
40.3625433331, -120.621449169,Coccinella novemnotata,Note,2020
35.340311632, -119.3388598243,Coccinella novemnotata,Note,2020
35.34030833, -119.34635333,Coccinella novemnotata,Note,2020
36.7104444087, -120.818373325,Coccinella novemnotata,Note,2020
35.0768214429, -119.6652482917,Coccinella novemnotata,Note,2020
39.5498509722, -119.828496,Coccinella novemnotata,Note,2020
46.813873, -112.153933,Coccinella novemnotata,Note,2020
40.9731019722, -105.0085839722,Coccinella novemnotata,Note,2020
38.8618429355, -104.6475712983,Coccinella novemnotata,Note,2020
43.5671515859, -116.6701119938,Coccinella novemnotata,Note,2020
