latitude,longitude,scientificname,occurrenceRemarks,Year
38.682219, -104.7008,Coccinella transversoguttata,Note,2011
38.8338816, -104.82136,Coccinella transversoguttata,Note,2011
38.7334177, -105.28192,Coccinella transversoguttata,Note,2011
43.6365693, -113.30028,Coccinella transversoguttata,Note,2011
37.4034666667, -105.5389333333,Coccinella transversoguttata,Note,2011
40.534099, -105.213007,Coccinella transversoguttata,Note,2011
38.8334312, -104.8218,Coccinella transversoguttata,Note,2011
43.0246696, -108.38131,Coccinella transversoguttata,Note,2011
41.7895584, -107.23824,Coccinella transversoguttata,Note,2011
44.6248198149, -110.4332596634,Coccinella transversoguttata,Note,2011
