,Unnamed: 0,Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
0,12192,12192,I-naturalist,2013,Harmonia axyridis,46.446023,-93.656563,178.0,Minnesota,"(46.446023, -93.656563)"
1,18752,18752,The Lost Ladybugs,2015,Harmonia axyridis,46.60977,-93.31981,0.0,Minnesota,"(46.60977, -93.31981)"
2,18753,18753,The Lost Ladybugs,2015,Cycloneda munda,46.54614,-93.28415,0.0,Minnesota,"(46.54614, -93.28415)"
3,18754,18754,The Lost Ladybugs,2015,Harmonia axyridis,46.54614,-93.28415,0.0,Minnesota,"(46.54614, -93.28415)"
4,23582,23582,Bugguide.net,2016,Coccinella trifasciata,46.601856,-93.470244,0.0,Minnesota,"(46.601856, -93.470244)"
5,42043,42043,I-naturalist,2017,Harmonia axyridis,46.6062815208,-93.3077106346,5.0,Minnesota,"(46.6062815208, -93.3077106346)"
6,49502,49502,I-naturalist,2018,Harmonia axyridis,46.6057246624,-93.3057658832,65.0,Minnesota,"(46.6057246624, -93.3057658832)"
7,49608,49608,I-naturalist,2018,Coccinella septempunctata,46.3208168605,-93.5260407959,40.0,Minnesota,"(46.3208168605, -93.5260407959)"
8,138622,138622,I-naturalist,2020,Anatis mali,46.35658833,-93.26208667,5.0,Minnesota,"(46.35658833, -93.26208667)"
9,139324,139324,I-naturalist,2020,Brachiacantha ursina,46.3195643578,-93.4841486067,349.0,Minnesota,"(46.3195643578, -93.4841486067)"
10,139326,139326,I-naturalist,2020,Anatis labiculata,46.3195643578,-93.4841486067,349.0,Minnesota,"(46.3195643578, -93.4841486067)"
11,175550,175550,I-naturalist,2021,Harmonia axyridis,46.534045099,-93.5437999155,80.0,Minnesota,"(46.534045099, -93.5437999155)"
12,175668,175668,I-naturalist,2021,Anatis labiculata,46.3196439722,-93.484075,0.0,Minnesota,"(46.3196439722, -93.484075)"
13,176770,176770,I-naturalist,2021,Hippodamia convergens,46.3660489722,-93.588507,0.0,Minnesota,"(46.3660489722, -93.588507)"
14,176771,176771,I-naturalist,2021,Harmonia axyridis,46.3197779722,-93.4842849722,0.0,Minnesota,"(46.3197779722, -93.4842849722)"
15,191369,987,INAT,2021,Harmonia axyridis,46.6233725,-93.68676107,7.0,Minnesota,"(46.6233725, -93.68676107)"
