,Unnamed: 0,Unnamed: 0.1,Source,Year,Species,Latitude,Longitude,public_positional_accuracy,State,gps
0,3230,3230,The Lost Ladybugs,2009,Hippodamia parenthesis,44.3113573,-96.798387,0.0,South Dakota,"(44.3113573, -96.798387)"
1,3231,3231,The Lost Ladybugs,2009,Coccinella septempunctata,44.3113573,-96.798387,0.0,South Dakota,"(44.3113573, -96.798387)"
2,3322,3322,The Lost Ladybugs,2009,Coelophora maculata,44.3113573,-96.798387,0.0,South Dakota,"(44.3113573, -96.798387)"
3,8252,8252,The Lost Ladybugs,2011,Hippodamia convergens,44.3236413,-96.914438,0.0,South Dakota,"(44.3236413, -96.914438)"
4,11097,11097,The Lost Ladybugs,2012,Anisosticta bitriangularis,44.32358,-96.926447,0.0,South Dakota,"(44.32358, -96.926447)"
5,12227,12227,The Lost Ladybugs,2013,Coelophora maculata,44.325119,-96.928451,0.0,South Dakota,"(44.325119, -96.928451)"
6,12228,12228,The Lost Ladybugs,2013,Hippodamia convergens,44.325119,-96.928451,0.0,South Dakota,"(44.325119, -96.928451)"
7,12229,12229,The Lost Ladybugs,2013,Cycloneda munda,44.325119,-96.928451,0.0,South Dakota,"(44.325119, -96.928451)"
8,19868,19868,The Lost Ladybugs,2015,Coelophora maculata,44.3109397,-96.798606,0.0,South Dakota,"(44.3109397, -96.798606)"
9,24460,24460,I-naturalist,2016,Harmonia axyridis,44.3101042416,-96.8017591071,5.0,South Dakota,"(44.3101042416, -96.8017591071)"
10,24461,24461,I-naturalist,2016,Harmonia axyridis,44.310246273,-96.8018462789,10.0,South Dakota,"(44.310246273, -96.8018462789)"
11,24466,24466,I-naturalist,2016,Coelophora maculata,44.272145,-96.7767416667,0.0,South Dakota,"(44.272145, -96.7767416667)"
12,24469,24469,The Lost Ladybugs,2016,Harmonia axyridis,44.3109397,-96.798606,0.0,South Dakota,"(44.3109397, -96.798606)"
13,95875,95875,I-naturalist,2020,Harmonia axyridis,44.2719085,-96.7736291,184.0,South Dakota,"(44.2719085, -96.7736291)"
14,95982,95982,I-naturalist,2020,Coccinella septempunctata,44.2700280575,-96.7776021269,10.0,South Dakota,"(44.2700280575, -96.7776021269)"
15,96082,96082,I-naturalist,2020,Harmonia axyridis,44.268799061,-96.7728649267,10.0,South Dakota,"(44.268799061, -96.7728649267)"
16,162956,162956,I-naturalist,2021,Harmonia axyridis,44.3133087158,-96.7689743042,14.0,South Dakota,"(44.3133087158, -96.7689743042)"
17,162973,162973,I-naturalist,2021,Hippodamia convergens,44.305725,-96.8069083333,65.0,South Dakota,"(44.305725, -96.8069083333)"
18,163060,163060,I-naturalist,2021,Coelophora maculata,44.322655,-96.9280083333,4.0,South Dakota,"(44.322655, -96.9280083333)"
19,163061,163061,I-naturalist,2021,Coccinella septempunctata,44.32283,-96.9276716667,4.0,South Dakota,"(44.32283, -96.9276716667)"
20,163064,163064,I-naturalist,2021,Coelophora maculata,44.268775,-96.773195,5.0,South Dakota,"(44.268775, -96.773195)"
21,163144,163144,I-naturalist,2021,Coelophora maculata,44.2702533333,-96.7781966667,5.0,South Dakota,"(44.2702533333, -96.7781966667)"
