,Species,gps,Year,nivalis_2007_18km,nivalis_2008_18km,nivalis_2009_18km,nivalis_2010_18km,nivalis_2011_18km,nivalis_2012_18km,nivalis_2013_18km,nivalis_2014_18km,nivalis_2015_18km,nivalis_2016_18km,nivalis_2017_18km,nivalis_2018_18km,nivalis_2019_18km,nivalis_2020_18km,nivalis_2021_18km,alpestris_2007_18km,alpestris_2008_18km,alpestris_2009_18km,alpestris_2010_18km,alpestris_2011_18km,alpestris_2012_18km,alpestris_2013_18km,alpestris_2014_18km,alpestris_2015_18km,alpestris_2016_18km,alpestris_2017_18km,alpestris_2018_18km,alpestris_2019_18km,alpestris_2020_18km,alpestris_2021_18km,mexicanus_2007_18km,mexicanus_2008_18km,mexicanus_2009_18km,mexicanus_2010_18km,mexicanus_2011_18km,mexicanus_2012_18km,mexicanus_2013_18km,mexicanus_2014_18km,mexicanus_2015_18km,mexicanus_2016_18km,mexicanus_2017_18km,mexicanus_2018_18km,mexicanus_2019_18km,mexicanus_2020_18km,mexicanus_2021_18km
0,Brachiacantha ursina,"(42.459085, -71.275566)",2007,14,15,7,12,11,14,36,26,14,18,24,18,6,23,26,6,5,2,7,5,8,9,8,11,14,14,12,5,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Brachiacantha ursina,"(42.31722259521485, -71.00861358642578)",2007,12,31,31,32,53,31,48,49,32,52,52,33,39,47,62,5,11,17,8,14,8,11,11,16,13,20,12,13,34,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Brachiacantha ursina,"(43.0767029177, -89.5210551295)",2007,9,4,6,3,5,3,15,13,11,27,17,20,5,21,38,28,23,18,20,15,20,34,41,34,55,60,64,53,60,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Brachiacantha ursina,"(42.317222, -71.008611)",2007,12,31,31,32,53,31,48,49,32,52,52,33,39,47,62,5,11,17,8,14,8,11,11,16,13,20,12,13,34,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brachiacantha ursina,"(42.028619, -94.85571)",2007,0,0,0,0,0,0,0,1,0,4,0,0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brachiacantha ursina,"(42.387432, -94.632554)",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brachiacantha ursina,"(40.715949, -73.602538)",2007,26,17,21,25,50,36,37,56,51,46,43,36,39,38,56,17,15,9,26,36,27,47,47,41,48,40,40,43,29,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Brachiacantha ursina,"(44.414581, -92.69681)",2008,0,0,0,0,0,1,5,2,0,0,1,0,3,1,5,0,0,0,1,0,0,4,6,2,5,4,2,8,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Brachiacantha ursina,"(45.540863, -94.495886)",2008,0,1,3,1,1,1,0,0,0,2,3,1,2,2,7,0,4,6,6,4,2,9,1,3,16,16,18,20,33,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Brachiacantha ursina,"(44.971331, -93.362357)",2008,3,2,2,2,1,3,3,2,8,3,4,12,12,10,15,1,2,2,2,1,2,3,6,9,14,11,21,14,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
